id,topicId,question,optionA,optionB,optionC,optionD,answer,image,explanation,difficulty
314,3,The impedance of an inductor is:,$1/(j\Omega L)$,$\Omega L$,$j\Omega L$,$j\Omega L$,C,,"The impedance of an inductor in the frequency domain is Z_L = jωL. This comes from the inductor's v-i relationship: v = L(di/dt). In phasor form: V = jωL·I, so Z = V/I = jωL. Answer: C.",1
315,3,"In a purely capacitive circuit, current:",Lags voltage by $90^\circ$,Leads voltage by$ 90^\circ$,Is in phase,Leads voltage by$ 90^\circ$,B,,"In a purely capacitive circuit, the current i = C(dv/dt). If v = V_m cos(ωt), then i = -ωCV_m sin(ωt) = ωCV_m cos(ωt + 90°). The current leads the voltage by 90°. Answer: B.",2
316,3,The average power consumed by a pure inductor is:,Maximum,Reactive only,Zero,Zero,C,,"The instantaneous power in a pure inductor is p(t) = v·i. Averaged over a full cycle, the positive and negative half-cycles cancel exactly. A pure inductor stores and releases energy each cycle but dissipates zero average (real) power. Answer: C.",2
317,3,Power factor is defined as:,$\frac{Q}{S}$,$cos\theta$,$\frac{Vrms}{Irms}$,$VI$,B,,"Power factor (pf) is defined as the cosine of the phase angle θ between voltage and current: pf = cos(θ). It represents the ratio of real power P to apparent power S: pf = P/S = cos(θ). The ratio V_rms/I_rms gives impedance magnitude |Z|, not pf. Answer: B.",2
318,3,Frequency response analysis studies circuit behavior as:,Time varies,Resistance varies,Frequency varies,Frequency varies,D,,"Frequency response analysis studies how a circuit's output (gain and phase) varies as the input signal frequency is swept across a range. It reveals filter cutoff frequencies, resonance, and bandwidth — all as a function of frequency. Answer: D.",2
319,3,"In an RC low-pass filter, output is taken across the:",Resistor,Capacitor,Source,Capacitor,B,,"In an RC low-pass filter with R in series and C in parallel with the output: at low frequencies, the capacitor impedance 1/(jωC) is large → most voltage appears across C → pass. At high frequencies, the capacitor impedance is small → voltage across C drops → attenuate. The output is taken across the capacitor. Answer: B.",2
320,3,The total response of a linear circuit equals the sum of:,DC and AC,Input and output,Transient and steady-state,Transient and steady-state,C,,"The complete (total) response of a linear circuit to any excitation is the sum of two components: 1) The transient (natural) response: dies away with time, depends on initial conditions. 2) The steady-state (forced) response: persists indefinitely, driven by the source. Total response = Transient + Steady-state. Answer: C.",2
601,6,A transfer function H(s) is defined as:,Vin(s) / Vout(s),"Y(s) / X(s) , where Y is o/p, X is i/p",I(s) / V(s) ,"Y(s) / X(s) , where Y is o/p, X is i/p",A,,,2
602,6,"If a pole lies in the Open Left Half Plane, the response is",Exponentially Decaying Sinusoid,Exponential Decay,Exponentially Growing Sinusoid,Exponential Decay,C,,,2
603,6,"For a simple RC circuit, if Vin(s) is applied to a series R and C (output across C) the transfer function H(s) = Vc(s) / Vin(s) is:",1 / ( sRC + 1),sRC / (sRC + 1),R / (sRC + 1),1 / ( sRC + 1),A,,,2
604,6,"In a two-port network, the transfer admittance Y21(s) is defined as:",V2(s) / I1(s) with V2 = 0,I2(s) / V2(s) with V2 = 0,V1(s) / I2(s) with I1 = 0,I2(s) / V2(s) with V2 = 0,B,,,2
605,6,Which stable output responses y(t) is critically damped?,"All poles of Y(s) are real, negative and distinct.",All poles of Y(s) lie in the open LHP with at least 1 pair of complex conjugate poles,All the poles of Y(s) are real negative with at least 2 same poles,All the poles of Y(s) are real negative with at least 2 same poles,C,,,2
606,6,"Given H(s) = (s + 5) / (s^2 + 3s + 2), the finite poles are at:",s = -5,"s = -1, -2",s= -3,"s = -1, -2",B,,,2
607,6,A network function H(s) =                                          10(s + 2) / s(s + 1)(s + 3)^2,"Double pole at s = -3, zero at s = -2","Double zero at s = -3, pole at s = -2","Poles at s= 0, -1, -3","Double pole at s = -3, zero at s = -2",B,,,2
608,6,"An active network has H(s) = -a / RCs + 1 - a. For stability, we require:",a > 1,a < 1,a = 1,a < 1,B,,,2
609,6,"For a series RLC circuit with R = 4���, L =1H, C = 0.25F, the transfer function Vc(s) / Vin(",\(1 / s^2 +4s + 4\),\(4 / s^2 +4s + 4\),\(1 / s^2 +4s + 1\),\(1 / s^2 +4s + 4\),C,,,2
610,6,"For a low-pass RC filter (R = 1k���, C = 1uF), the transfer function H(s) = Vo(s)/Vi(",1 / (1 + s),1 / (1 + sRC),1 / (1 + 0.001s),1 / (1 + 0.001s),C,,,2
611,6,"If H(s) has a pole at s = 0 and all others in LHP, and input x(t) = sin(wt)u(t) is applied, the steady-state response will:",Grow linearly with time,Be sinusoidal with constant amplitude,Decay to zero,Be sinusoidal with constant amplitude,B,,,2
612,6,Which of the following defines the port condition for a two-port network?,V1 = V2 ,The current entering one terminal of a port equals the current leaving the other terminal of the same port,No voltage difference between ports,The current entering one terminal of a port equals the current leaving the other terminal of the same port,C,,,2
613,6,"For the admittance parameters (y), y21 is defined as:","I2 / V1 , V2 = 0","I1 / V2 , V1 = 0","V2 / I1 , I2 = 0","I2 / V1 , V2 = 0",D,,,2
614,6,"For a reciprocal two-port network containing only R,L,C and transformer (no dependent sources), which is always true?",z12 = z21,h12 = h21,AD - BC = 0,z12 = z21,C,,,2
615,6,Two-ports are connected in cascade. Which parameter set is most convenient to find overall parameters?,z-parameters,y-parameters,ABCD-parameters,ABCD-parameters,A,,,2
616,6,A two-port network is symmetrical if: ,z11 = z22,z12 = z21,y12 = -y21,z11 = z22,B,,,2
617,6,"If the z-parameter matrix is [4,2 ; 2,5], the y-parameter matrix is:","[5/16, -2/16; -2/16, 4/16]","[4, -2; -2, 5]","[0.3125, -0.125; -0.125, 0.25]","[0.3125, -0.125; -0.125, 0.25]",C,,,2
618,6,"For a reciprocal network, the condition in terms of hybrid parameters is:",h12 = h21,h12 = -h21,h11 = h22,h12 = -h21,B,,,2
619,6,"When 2 two-port are connected in parallel, the overall y-parameter matrix is:",Sum of individual y-matrices,Product of individual y-matrices,Inverse of the sum of z-matrices,Sum of individual y-matrices,C,,,2
620,6,The ABCD parameter B is defined as:,"V1 / V2 , I2 = 0","V1 / -I2 , V2 = 0","I1 / V2 , I2 = 0","V1 / -I2 , V2 = 0",B,,,2
701,7,In the context of frequency domain analysis what is the angular frequency (\(\Omega\) ) of a standard DC voltage source?,20 rad/s,60 rad/s,0 rad/s,0 rad/s,C,,,2
702,7,Which of the following correctly compares the behavior of an ideal Capacitor in DC steady state versus AC steady state?,DC: Short Circuit AC: Open Circuit,DC: Open Circuit AC: Frequency-dependent Impedance (1/j\(\Omega\) C),DC: Resistor AC: Short Circuit,DC: Open Circuit AC: Frequency-dependent Impedance (1/j\(\Omega\) C),B,,,2
703,7,"A resistor R=10 \,\(\Omega\) is used in a circuit. How does its impedance change if the source switches from DC to high-frequency AC?",It increases linearly with frequency,It decreases with frequency,"\(It remains constant at 10 \,\Omega\)","\(It remains constant at 10 \,\Omega\)",C,,,2
704,7,Calculate the reactance (XL) of a 5 H inductor when connected to a DC voltage source.,"\(5 \,\Omega\)","\(0 \,\Omega\)",Infinite,"\(0 \,\Omega\)",,,,1
705,7,"Calculate the reactance (XL) of the same \(5\,\text{H}\) inductor when connected to an AC source with \(\Omega\)  = 10 rad/s.","\(50 \,\Omega\)","\(0.5 \,\Omega\)","\(5 \,\Omega\)","\(50 \,\Omega\)",,,,2
706,7,"Which of the following correctly describes the ""Effective Value"" (RMS) of an AC current?",It is the peak value divided by 2,It is the average value over half a cycle,It is the equivalent DC current that delivers the same average power to a resistor,It is the equivalent DC current that delivers the same average power to a resistor,,,,2
707,7,Determine the RMS value of a sinusoidal voltage v(t) with a peak amplitude of 100 V.,100 V,141.4 V,70.7 V,70.7 V,,,,1
708,7,What is the RMS value of a steady DC voltage v(t) = 10 V?,0 V,10 V,7.07 V,10 V,,,,2
709,7,Why can we NOT use Phasors to solve a circuit that has both DC and AC sources simultaneously in a single step?,Phasors are frequency-specific; DC and AC have different frequencies,Phasors only work for resistors,DC sources cannot be represented in math,Phasors are frequency-specific; DC and AC have different frequencies,,,,1
710,7,"In a Series RC circuit, if the frequency of the source omega increases from 0 (DC) to Infinity, what happens to the magnitude of the total impedance |Z|?",It increases,It decreases,It stays constant,It decreases,,,,2
711,7,A current is given by i(t) = 5 cos(377t). What is the frequency f in Hertz?,50 Hz,60 Hz,377 Hz,60 Hz,,,,1
712,7,"A voltage source v(t) = 12 + 10 cos(2t) V is connected to a Series RL circuit (R=4, L=2). Calculate the DC component of the resulting current.",3.0 A,12.0 A,"\(12.0\,\text{A}\)",3.0 A,,,,2
713,7,"For the same circuit (R=4, L=2) and input v(t) = 12 + 10 cos(2t), calculate the AC component of the current in phasor form.",\(2.5 \angle 0^\circ A\),\(1.77 \angle -45^\circ A\),\(1.77 \angle 45^\circ A\),\(1.77 \angle -45^\circ A\),,,,2
714,7,Calculate the Total RMS value of the mixed current signal i(t) = 3 + 4 cos(t) A.,5.0 A,3.5 A,4.12 A,4.12 A,,,,3
715,7,"A resistor R=5 \,\(\Omega\) is fed by a current i(t) = 2 + 5 cos(10t) A. Calculate the Total Average Power absorbed.",45 W,82.5 W,145 W,82.5 W,,,,3
716,7,"Find the total energy W dissipated by a 10 \,\(\Omega\) resistor over 1 second if the current is i(t) = \(5\,\text{A}\) (DC).",25 J,50 J,250 J,250 J,,,,1
717,7,"A source v(t) = 20 + 20 cos(100t) is applied across a Capacitor C=\(1\,\text{mF}\). What is the steady-state current i(t)?",20 mA,0:00,-2 sin(100t) A,-2 sin(100t) A,,,,1
718,7,"Two voltage sources are in series: v1(t)=\(10\,\text{V}\) (DC) and v2(t)=10cos(t) V (AC). If measured by a standard DC Voltmeter, what will the reading be?",0 V,10 V,17.07 V,10 V,B,,,2
719,7,"For a signal v(t) = Vm cos(\(\Omega\) t), what is the ratio of the Maximum Instantaneous Power to the Average Power absorbed by a resistor?",1,1.414,2,2,B,,,3
720,7,Why is the current written as i(t)= \(I_{DC}\) + \(I_{AC}\) cos(\(\Omega\) t+\(\phi\) )?,Because resistors require two currents,Because capacitors only respond to AC,Because DC and AC sources affect the circuit independently,Because DC and AC sources affect the circuit independently,A,,,1
